frame,time_s,position_mm,raw_x,raw_y,points_tracked
608,46.1472,260.75,1736,494,1
609,46.2151,261.17,1738,492,1
610,46.2819,260.64,1735,493,1
611,46.3527,260.96,1737,493,1
612,46.43,260.96,1737,493,1
613,46.495,260.96,1737,493,1
614,46.5619,260.96,1737,493,1
615,46.6549,260.8,1736,493,1
616,46.722,260.96,1737,493,1
617,46.7869,260.8,1736,493,1
618,46.8814,260.8,1736,493,1
619,46.9793,260.96,1737,493,1
620,47.0458,260.8,1736,493,1
621,47.1113,260.96,1737,493,1
622,47.1809,260.8,1736,493,1
623,47.2781,260.8,1736,493,1
624,47.3831,260.8,1736,493,1
625,47.4487,260.8,1736,493,1
626,47.5137,260.96,1737,493,1
627,47.582,260.96,1737,493,1
628,47.6465,260.96,1737,493,1
629,47.7131,260.96,1737,493,1
630,47.7833,260.8,1736,493,1
631,47.8499,260.85,1736,492,1
632,47.9458,260.8,1736,493,1
633,48.0103,260.8,1736,493,1
634,48.0869,260.96,1737,493,1
635,48.1519,260.8,1736,493,1
636,48.218,260.96,1737,493,1
637,48.2812,260.96,1737,493,1
638,48.3778,260.96,1737,493,1
639,48.4421,260.8,1736,493,1
640,48.5187,260.8,1736,493,1
641,48.6136,260.8,1736,493,1
642,48.7118,260.8,1736,493,1
643,48.776,260.96,1737,493,1
644,48.8434,260.8,1736,493,1
645,48.9402,260.8,1736,493,1
646,49.0183,260.8,1736,493,1
647,49.0801,260.8,1736,493,1
648,49.1475,260.8,1736,493,1
649,49.2112,260.8,1736,493,1
650,49.2789,260.8,1736,493,1
651,49.3444,260.96,1737,493,1
652,49.4108,260.96,1737,493,1
653,49.5077,260.96,1737,493,1
654,49.5766,260.8,1736,493,1
655,49.641,260.96,1737,493,1
656,49.7206,260.8,1736,493,1
657,49.8205,260.8,1736,493,1
658,49.9149,261.01,1737,492,1
659,49.9795,260.96,1737,493,1
660,50.0485,260.8,1736,493,1
661,50.1449,260.8,1736,493,1
662,50.2113,260.64,1735,493,1
663,50.2811,260.8,1736,493,1
664,50.3785,260.8,1736,493,1
665,50.4494,260.8,1736,493,1
666,50.5162,260.8,1736,493,1
667,50.6124,260.8,1736,493,1
668,50.7121,260.96,1737,493,1
669,50.7762,260.96,1737,493,1
670,50.8563,260.96,1737,493,1
671,50.9485,260.96,1737,493,1
672,51.0171,260.96,1737,493,1
673,51.082,260.96,1737,493,1
674,51.147,260.96,1737,493,1
675,51.216,260.96,1737,493,1
676,51.2806,260.96,1737,493,1
677,51.3457,260.8,1736,493,1
678,51.4113,260.8,1736,493,1
679,51.4826,260.8,1736,493,1
680,51.5504,260.8,1736,493,1
681,51.6147,260.8,1736,493,1
682,51.693,260.8,1736,493,1
683,51.7851,260.96,1737,493,1
684,51.8824,260.96,1737,493,1
685,51.9832,260.8,1736,493,1
686,52.0477,260.8,1736,493,1
687,52.1126,260.96,1737,493,1
688,52.1784,260.8,1736,493,1
689,52.2469,260.8,1736,493,1
690,52.3135,260.8,1736,493,1
691,52.381,260.8,1736,493,1
692,52.4457,260.96,1737,493,1
693,52.5119,260.96,1737,493,1
694,52.5822,260.96,1737,493,1
695,52.6789,260.8,1736,493,1
696,52.7482,260.8,1736,493,1
697,52.8137,260.8,1736,493,1
698,52.8842,260.8,1736,493,1
699,52.9506,260.8,1736,493,1
700,53.0163,260.8,1736,493,1
701,53.1148,260.96,1737,493,1
702,53.2097,260.96,1737,493,1
703,53.2816,260.8,1736,493,1
704,53.3467,260.8,1736,493,1
705,53.4166,260.8,1736,493,1
706,53.4812,260.8,1736,493,1
707,53.5534,260.96,1737,493,1
708,53.6211,260.8,1736,493,1
709,53.7166,260.8,1736,493,1
710,53.7811,260.8,1736,493,1
711,53.8548,260.8,1736,493,1
712,53.92,260.96,1737,493,1
713,53.9855,260.8,1736,493,1
714,54.0814,261.01,1737,492,1
715,54.1841,261.01,1737,492,1
716,54.2489,261.01,1737,492,1
717,54.313,260.75,1736,494,1
718,54.378,261.01,1737,492,1
719,54.4468,260.75,1736,494,1
720,54.5113,261.01,1737,492,1
721,54.5774,260.91,1737,494,1
722,54.6451,261.06,1737,491,1
723,54.7194,260.91,1737,494,1
724,54.7845,261.17,1738,492,1
